step,cumulative_comfort_violation,cumulative_energy,max_overshoot,mean_temperature,temperature_rmse,total_overshoot
5,0.0,13.28778973611297,0.0,20.0265,0.051874,0.0
10,0.0,18.97449679013469,0.0,20.0648,0.049567,0.0
15,0.0,22.58737976173403,0.0,20.1063,0.048333,0.0
20,0.0,26.182565766203492,0.0,20.1481,0.055624,0.0
25,0.0,30.446501584370377,0.0,20.1891,0.044333,0.0
30,0.0,33.89880256988999,0.0,20.231,0.048301,0.0
35,0.0,38.03767085852016,0.0,20.272,0.045588,0.0
40,0.0,42.78833187550537,0.0,20.314,0.050384,0.0
45,0.0,47.35947355625697,0.0,20.3591,0.04622,0.0
50,0.0,52.38946296660271,0.0,20.4036,0.046442,0.0
55,0.0,57.90929771562916,0.0,20.447,0.047846,0.0
60,0.0,63.82768507701692,0.0,20.5124,0.056395,0.0
65,0.0,69.8237286242281,0.0,20.5919,0.051716,0.0
70,0.0,76.01193871516382,0.0,20.6719,0.052719,0.0
75,0.0,84.07569367754063,0.0,20.7484,0.045567,0.0
80,0.0,91.45640243723831,0.0,20.8226,0.049034,0.0
85,0.0,117.42528508539588,0.0,20.871,0.054996,0.0
90,0.0,147.67882553278318,0.0,20.904,0.044701,0.0
95,0.0,178.82160750776802,0.0,20.9367,0.050255,0.0
100,0.0,210.891644376375,0.0,20.9674,0.045769,0.0
105,0.0,241.6460546053775,0.0,20.9998,0.055169,0.0
110,0.0,272.1210364000519,0.0,21.0326,0.047518,0.0
115,0.0,298.61348907998166,0.0,21.0722,0.044152,0.0
120,0.653922109440515,333.3463616681421,0.0517,21.1284,0.05281,0.0517
125,1.4030998075818104,366.92806372243007,0.0593,21.1753,0.054416,0.0593
130,2.697684840982968,394.1853645287499,0.1217,21.2341,0.051071,0.1217
135,4.365586660292877,427.5006390418657,0.1275,21.2821,0.046249,0.1275
140,6.117130361431805,459.9585524861385,0.134,21.3306,0.046409,0.134
145,8.547209993663529,485.8555778790266,0.1951,21.3911,0.053286,0.1951
150,11.186340685406387,520.7030895268971,0.1999,21.4369,0.046204,0.1999
155,14.193429729396446,558.1047675247349,0.261,21.4888,0.044447,0.261
